street,number,neighborhood,city,state,country,zipcode,store_id,store_name
,,,,,,,3,CUMIURI
Aguiarcycles,1092,Rua Mariante,Rio Branco,Porto Alegre,Brasil,90420-150,6,PIMGUCIS DA VIVA 
Aguiarcycles,1092,Rua Mariante,Rio Branco,Porto Alegre,Brasil,90420-150,8,RASMUR S 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,53,PAPA SUCIS 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,54,VUZPI PAZZIS 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,56,SUPSIO 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,58,PIAMUARIS 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,82,LUCITA 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,83,PRARIZZAI 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,84,PALLO MZU GRALA
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,85,PRISMAURAI 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,88,EUGUSMI 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,89,LIS URPIMIOUS 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,90,CISI DA POI EU QUASI 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,95,ARE TRAMUO 
Estacionamento - Bloco 4,,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,Brasil,22640-032,96,PIRMI DA SIPIR 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,99,SIRVUMU AMILAI 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,100,LUPIMUIM 
,,,,,,,122,MASUCIE
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,141,RO PRISMAUS 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,144,CIRIROI U CAI 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,149,IUMPICA 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,164,CLUPU RULASSI 
