store_id,store_name,location_name
3,CUMIURI,Coordenadas ausentes
6,PIMGUCIS DA VIVA ,"Aguiarcycles, 1092, Rua Mariante, Rio Branco, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90420-150, Brasil"
8,RASMUR S ,"Aguiarcycles, 1092, Rua Mariante, Rio Branco, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90420-150, Brasil"
53,PAPA SUCIS ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
54,VUZPI PAZZIS ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
56,SUPSIO ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
58,PIAMUARIS ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
82,LUCITA ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
83,PRARIZZAI ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
84,PALLO MZU GRALA,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
